                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     38,                 3.5561,                 3.3949,                 2.7996,                      0,                      0,                      0,                      0,                 6.8326,                 12.027,                 4.2624,             0.00046894,             0.00046894,             0.00046894
                     39,                 3.4175,                 2.8854,                 2.4365,                      0,                      0,                      0,                      0,                 6.8332,                 12.068,                 4.2724,             0.00047409,             0.00047409,             0.00047409
                     40,                 2.8173,                 3.1425,                 3.0541,                      0,                      0,                      0,                      0,                 6.8332,                 12.068,                 4.2724,             0.00047884,             0.00047884,             0.00047884
                     41,                 3.2258,                 3.2485,                 2.5221,                      0,                      0,                      0,                      0,                 6.8339,                 12.103,                 4.2818,              0.0004832,              0.0004832,              0.0004832
                     42,                 3.0783,                 3.3789,                 2.2932,                      0,                      0,                      0,                      0,                 6.8339,                 12.103,                 4.2818,             0.00048716,             0.00048716,             0.00048716
                     43,                 3.5817,                 3.3042,                 2.5629,                      0,                      0,                      0,                      0,                 6.8346,                 12.137,                 4.2916,             0.00049073,             0.00049073,             0.00049073
                     44,                 2.9167,                 2.6169,                 2.4231,                      0,                      0,                      0,                      0,                 6.8346,                 12.137,                 4.2916,              0.0004939,              0.0004939,              0.0004939
                     45,                 2.8427,                 3.0657,                 2.4425,                      0,                      0,                      0,                      0,                 6.8354,                 12.149,                 4.3009,             0.00049667,             0.00049667,             0.00049667
                     46,                 3.0723,                 2.5519,                 1.8502,                      0,                      0,                      0,                      0,                 6.8354,                 12.149,                 4.3009,             0.00049905,             0.00049905,             0.00049905
                     47,                  3.664,                 3.3079,                 2.2871,                      0,                      0,                      0,                      0,                 6.8361,                 12.136,                  4.309,             0.00050103,             0.00050103,             0.00050103
                     48,                 3.0152,                 2.6717,                 1.9788,                      0,                      0,                      0,                      0,                 6.8361,                 12.136,                  4.309,             0.00050262,             0.00050262,             0.00050262
                     49,                 2.7233,                 2.5558,                 2.1923,                      0,                      0,                      0,                      0,                 6.8366,                 12.122,                 4.3149,             0.00050381,             0.00050381,             0.00050381
                     50,                 2.4124,                  2.334,                 1.9858,                      0,                      0,                      0,                      0,                 6.8366,                 12.122,                 4.3149,              0.0005046,              0.0005046,              0.0005046
                     51,                 3.1579,                 2.4536,                 2.0312,                      0,                      0,                      0,                      0,                  6.837,                 12.114,                 4.3196,               0.000505,               0.000505,               0.000505
                     52,                 2.5282,                 2.3244,                 2.1609,                      0,                      0,                      0,                      0,                  6.837,                 12.114,                 4.3196,               0.000505,               0.000505,               0.000505
                     53,                 2.5876,                 2.2197,                 2.0265,                      0,                      0,                      0,                      0,                  6.837,                 12.114,                 4.3196,             0.00050461,             0.00050461,             0.00050461
                     54,                 3.0352,                  2.354,                 1.8494,                      0,                      0,                      0,                      0,                 6.8375,                 12.099,                  4.324,             0.00050382,             0.00050382,             0.00050382
                     55,                 2.6294,                 2.2373,                 2.0573,                      0,                      0,                      0,                      0,                 6.8375,                 12.099,                  4.324,             0.00050263,             0.00050263,             0.00050263
                     56,                 2.6026,                 2.8312,                  1.884,                      0,                      0,                      0,                      0,                 6.8375,                 12.099,                  4.324,             0.00050105,             0.00050105,             0.00050105
                     57,                 3.0403,                  2.507,                 2.2012,                      0,                      0,                      0,                      0,                 6.8377,                 12.042,                 4.3267,             0.00049907,             0.00049907,             0.00049907
                     58,                 2.2429,                 2.4483,                 1.9764,                      0,                      0,                      0,                      0,                 6.8377,                 12.042,                 4.3267,              0.0004967,              0.0004967,              0.0004967
                     59,                 2.5679,                 2.5522,                 1.9189,                      0,                      0,                      0,                      0,                 6.8377,                 12.042,                 4.3267,             0.00049393,             0.00049393,             0.00049393
                     60,                 2.2363,                 2.1346,                 2.0171,                      0,                      0,                      0,                      0,                 6.8378,                 11.939,                  4.328,             0.00049076,             0.00049076,             0.00049076
                     61,                 2.2763,                 2.3344,                 2.1576,                      0,                      0,                      0,                      0,                 6.8378,                 11.939,                  4.328,              0.0004872,              0.0004872,              0.0004872
                     62,                 2.4591,                  2.127,                 2.0119,                      0,                      0,                      0,                      0,                 6.8378,                 11.939,                  4.328,             0.00048324,             0.00048324,             0.00048324
                     63,                 2.3514,                  2.387,                 2.0185,                      0,                      0,                      0,                      0,                 6.8379,                 11.758,                 4.3295,             0.00047889,             0.00047889,             0.00047889
                     64,                 2.4743,                 2.3171,                 2.0231,                      0,                      0,                      0,                      0,                 6.8379,                 11.758,                 4.3295,             0.00047414,             0.00047414,             0.00047414
                     65,                 2.5692,                 2.4564,                  2.013,                      0,                      0,                      0,                      0,                 6.8379,                 11.758,                 4.3295,             0.00046899,             0.00046899,             0.00046899
                     66,                 2.3956,                 2.1316,                 1.6923,                      0,                      0,                      0,                      0,                 6.8379,                 11.586,                 4.3315,             0.00046345,             0.00046345,             0.00046345
                     67,                 2.6576,                 2.2443,                  1.932,                      0,                      0,                      0,                      0,                 6.8379,                 11.586,                 4.3315,             0.00045751,             0.00045751,             0.00045751
                     68,                 2.4506,                 2.2758,                 1.9251,                      0,                      0,                      0,                      0,                 6.8379,                 11.586,                 4.3315,             0.00045118,             0.00045118,             0.00045118
                     69,                 2.7294,                 2.1067,                 1.7713,                      0,                      0,                      0,                      0,                 6.8379,                 11.396,                 4.3328,             0.00044445,             0.00044445,             0.00044445
                     70,                 2.1225,                 1.7486,                 1.7349,                      0,                      0,                      0,                      0,                 6.8379,                 11.396,                 4.3328,             0.00043732,             0.00043732,             0.00043732
                     71,                 2.4866,                  2.261,                 2.0477,                      0,                      0,                      0,                      0,                 6.8379,                 11.396,                 4.3328,              0.0004298,              0.0004298,              0.0004298
                     72,                 2.8843,                  2.147,                 1.7524,                      0,                      0,                      0,                      0,                 6.8376,                 11.209,                 4.3321,             0.00042188,             0.00042188,             0.00042188
                     73,                 2.3651,                 1.9312,                 2.0975,                      0,                      0,                      0,                      0,                 6.8376,                 11.209,                 4.3321,             0.00041357,             0.00041357,             0.00041357
                     74,                 2.4314,                 2.0412,                 1.9541,                      0,                      0,                      0,                      0,                 6.8376,                 11.209,                 4.3321,             0.00040486,             0.00040486,             0.00040486
                     75,                  2.627,                 2.0576,                 1.7537,                      0,                      0,                      0,                      0,                 6.8372,                 11.028,                 4.3292,             0.00039575,             0.00039575,             0.00039575
                     76,                 2.5108,                 1.8382,                  1.715,                      0,                      0,                      0,                      0,                 6.8372,                 11.028,                 4.3292,             0.00038625,             0.00038625,             0.00038625
                     77,                 2.4642,                 1.9726,                 2.0023,                      0,                      0,                      0,                      0,                 6.8372,                 11.028,                 4.3292,             0.00037635,             0.00037635,             0.00037635
                     78,                 2.1706,                 1.7211,                 1.7363,                      0,                      0,                      0,                      0,                 6.8366,                 10.889,                 4.3246,             0.00036606,             0.00036606,             0.00036606
                     79,                 2.2967,                 1.8588,                 1.7447,                      0,                      0,                      0,                      0,                 6.8366,                 10.889,                 4.3246,             0.00035537,             0.00035537,             0.00035537
                     80,                 2.1077,                 1.8195,                   1.54,                      0,                      0,                      0,                      0,                 6.8366,                 10.889,                 4.3246,             0.00034428,             0.00034428,             0.00034428
                     81,                 2.3903,                 2.0294,                 1.6469,                      0,                      0,                      0,                      0,                 6.8358,                 10.807,                 4.3186,              0.0003328,              0.0003328,              0.0003328
                     82,                 2.4696,                 1.9623,                 1.5834,                      0,                      0,                      0,                      0,                 6.8358,                 10.807,                 4.3186,             0.00032092,             0.00032092,             0.00032092
                     83,                 2.1656,                 1.5984,                 1.7128,                      0,                      0,                      0,                      0,                 6.8358,                 10.807,                 4.3186,             0.00030865,             0.00030865,             0.00030865
                     84,                 2.0426,                 1.6328,                 1.6228,                      0,                      0,                      0,                      0,                 6.8345,                 10.719,                 4.3103,             0.00029598,             0.00029598,             0.00029598
                     85,                 2.3271,                 1.8528,                 1.3967,                      0,                      0,                      0,                      0,                 6.8345,                 10.719,                 4.3103,             0.00028291,             0.00028291,             0.00028291
                     86,                 1.9715,                 1.5345,                 1.6068,                      0,                      0,                      0,                      0,                 6.8345,                 10.719,                 4.3103,             0.00026945,             0.00026945,             0.00026945
                     87,                 1.9445,                 1.5323,                 1.5201,                      0,                      0,                      0,                      0,                 6.8345,                 10.719,                 4.3103,             0.00025559,             0.00025559,             0.00025559
                     88,                 2.1589,                 1.7018,                 1.7202,                      0,                      0,                      0,                      0,                 6.8321,                 10.632,                 4.2941,             0.00024134,             0.00024134,             0.00024134
                     89,                 2.1837,                 1.9403,                 1.9275,                      0,                      0,                      0,                      0,                 6.8321,                 10.632,                 4.2941,             0.00022669,             0.00022669,             0.00022669
                     90,                 1.9431,                 1.7688,                 1.5059,                      0,                      0,                      0,                      0,                 6.8321,                 10.632,                 4.2941,             0.00021164,             0.00021164,             0.00021164
                     91,                 2.0969,                 2.2123,                  1.881,                      0,                      0,                      0,                      0,                 6.8321,                 10.632,                 4.2941,              0.0001962,              0.0001962,              0.0001962
                     92,                 2.0339,                  1.962,                 1.6539,                      0,                      0,                      0,                      0,                 6.8281,                 10.535,                 4.2699,             0.00018036,             0.00018036,             0.00018036
                     93,                 2.0541,                 2.3012,                 1.8179,                      0,                      0,                      0,                      0,                 6.8281,                 10.535,                 4.2699,             0.00016413,             0.00016413,             0.00016413
                     94,                 1.8841,                 2.0943,                 1.3921,                      0,                      0,                      0,                      0,                 6.8281,                 10.535,                 4.2699,              0.0001475,              0.0001475,              0.0001475
                     95,                 1.8406,                 1.9493,                 1.7302,                      0,                      0,                      0,                      0,                 6.8281,                 10.535,                 4.2699,             0.00013047,             0.00013047,             0.00013047
                     96,                 1.8857,                 1.9058,                 1.8425,                      0,                      0,                      0,                      0,                 6.8244,                 10.437,                 4.2266,             0.00011305,             0.00011305,             0.00011305
                     97,                 1.9689,                 2.2248,                  1.691,                      0,                      0,                      0,                      0,                 6.8244,                 10.437,                 4.2266,             9.5232e-05,             9.5232e-05,             9.5232e-05
                     98,                 1.8735,                 2.5303,                 1.6019,                      0,                      0,                      0,                      0,                 6.8244,                 10.437,                 4.2266,             7.7018e-05,             7.7018e-05,             7.7018e-05
                     99,                 1.9181,                  1.991,                 1.5751,                      0,                      0,                      0,                      0,                 6.8244,                 10.437,                 4.2266,             5.8408e-05,             5.8408e-05,             5.8408e-05
                    100,                 1.7421,                 2.2388,                 1.4305,                      0,                      0,                      0,                      0,                 6.8146,                 10.366,                 4.1419,             3.9402e-05,             3.9402e-05,             3.9402e-05
