                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  6.548,                 14.032,                 4.5442,                      0,                      0,                      0,                      0,                 6.8239,                 11.431,                 4.1596,                      0,                      0,                      0
                      2,                 6.8534,                 15.961,                 4.4616,                      0,                      0,                      0,                      0,                  6.824,                 11.438,                 4.1603,             1.9802e-05,             1.9802e-05,             1.9802e-05
                      3,                 5.9399,                 8.1437,                 4.6112,                      0,                      0,                      0,                      0,                 6.8241,                 11.445,                 4.1609,             3.9208e-05,             3.9208e-05,             3.9208e-05
                      4,                 6.8928,                 22.384,                 4.4569,                      0,                      0,                      0,                      0,                 6.8242,                 11.452,                 4.1616,             5.8218e-05,             5.8218e-05,             5.8218e-05
                      5,                 6.8001,                 16.106,                 4.2405,                      0,                      0,                      0,                      0,                 6.8242,                 11.458,                 4.1623,             7.6832e-05,             7.6832e-05,             7.6832e-05
                      6,                 6.8223,                 15.194,                 4.2422,                      0,                      0,                      0,                      0,                 6.8243,                 11.464,                 4.1631,              9.505e-05,              9.505e-05,              9.505e-05
                      7,                 6.2321,                 11.607,                 4.9941,                      0,                      0,                      0,                      0,                 6.8244,                 11.469,                 4.1639,             0.00011287,             0.00011287,             0.00011287
                      8,                 6.4832,                 10.856,                 4.3622,                      0,                      0,                      0,                      0,                 6.8244,                 11.474,                  4.165,              0.0001303,              0.0001303,              0.0001303
                      9,                 6.0206,                 10.706,                 4.1757,                      0,                      0,                      0,                      0,                 6.8245,                  11.48,                 4.1662,             0.00014733,             0.00014733,             0.00014733
                     10,                 5.9552,                 10.646,                 4.2284,                      0,                      0,                      0,                      0,                 6.8245,                 11.487,                 4.1676,             0.00016396,             0.00016396,             0.00016396
                     11,                 4.7721,                 9.3024,                 4.2051,                      0,                      0,                      0,                      0,                 6.8246,                 11.496,                 4.1692,              0.0001802,              0.0001802,              0.0001802
                     12,                 6.4521,                 14.675,                 3.7495,                      0,                      0,                      0,                      0,                 6.8247,                 11.506,                  4.171,             0.00019604,             0.00019604,             0.00019604
                     13,                 5.0728,                  8.991,                  3.685,                      0,                      0,                      0,                      0,                 6.8249,                 11.519,                 4.1732,             0.00021149,             0.00021149,             0.00021149
                     14,                 5.2675,                 7.1955,                 4.4119,                      0,                      0,                      0,                      0,                 6.8251,                 11.534,                 4.1755,             0.00022654,             0.00022654,             0.00022654
                     15,                 5.7764,                 8.5167,                 4.3086,                      0,                      0,                      0,                      0,                 6.8253,                 11.549,                  4.178,             0.00024119,             0.00024119,             0.00024119
                     16,                 5.2001,                 5.6118,                 4.1682,                      0,                      0,                      0,                      0,                 6.8255,                 11.566,                 4.1808,             0.00025545,             0.00025545,             0.00025545
                     17,                 5.4589,                 6.2844,                 3.6577,                      0,                      0,                      0,                      0,                 6.8258,                 11.585,                 4.1838,             0.00026931,             0.00026931,             0.00026931
                     18,                 4.5648,                 6.7794,                 3.7816,                      0,                      0,                      0,                      0,                 6.8258,                 11.585,                 4.1838,             0.00028278,             0.00028278,             0.00028278
                     19,                  4.506,                 5.0935,                  3.737,                      0,                      0,                      0,                      0,                 6.8263,                 11.624,                 4.1896,             0.00029585,             0.00029585,             0.00029585
                     20,                 4.4425,                 5.1368,                  3.751,                      0,                      0,                      0,                      0,                 6.8263,                 11.624,                 4.1896,             0.00030852,             0.00030852,             0.00030852
                     21,                 3.7258,                 3.9546,                 3.4642,                      0,                      0,                      0,                      0,                 6.8268,                 11.665,                  4.196,              0.0003208,              0.0003208,              0.0003208
                     22,                 4.3089,                 5.6236,                  3.959,                      0,                      0,                      0,                      0,                 6.8268,                 11.665,                  4.196,             0.00033268,             0.00033268,             0.00033268
                     23,                 4.2259,                 5.6662,                 3.3249,                      0,                      0,                      0,                      0,                 6.8274,                 11.706,                 4.2027,             0.00034417,             0.00034417,             0.00034417
                     24,                 3.3116,                 5.0412,                 3.6268,                      0,                      0,                      0,                      0,                 6.8274,                 11.706,                 4.2027,             0.00035526,             0.00035526,             0.00035526
                     25,                 4.3097,                 4.6153,                 3.1812,                      0,                      0,                      0,                      0,                  6.828,                 11.752,                 4.2102,             0.00036595,             0.00036595,             0.00036595
                     26,                 4.0568,                 4.6946,                 3.5653,                      0,                      0,                      0,                      0,                  6.828,                 11.752,                 4.2102,             0.00037625,             0.00037625,             0.00037625
                     27,                 4.1348,                 7.8093,                  3.731,                      0,                      0,                      0,                      0,                 6.8287,                 11.795,                 4.2176,             0.00038615,             0.00038615,             0.00038615
                     28,                 3.5228,                 3.7342,                 3.2212,                      0,                      0,                      0,                      0,                 6.8287,                 11.795,                 4.2176,             0.00039566,             0.00039566,             0.00039566
                     29,                 3.5459,                 5.6902,                 3.2415,                      0,                      0,                      0,                      0,                 6.8296,                 11.844,                  4.226,             0.00040477,             0.00040477,             0.00040477
                     30,                  3.376,                 4.0305,                 3.1806,                      0,                      0,                      0,                      0,                 6.8296,                 11.844,                  4.226,             0.00041348,             0.00041348,             0.00041348
                     31,                 3.5541,                 4.8198,                 3.1629,                      0,                      0,                      0,                      0,                 6.8304,                 11.895,                 4.2349,              0.0004218,              0.0004218,              0.0004218
                     32,                 3.0159,                 4.3603,                 2.9169,                      0,                      0,                      0,                      0,                 6.8304,                 11.895,                 4.2349,             0.00042972,             0.00042972,             0.00042972
                     33,                 3.5028,                 4.2575,                 2.8179,                      0,                      0,                      0,                      0,                 6.8312,                  11.94,                 4.2438,             0.00043725,             0.00043725,             0.00043725
                     34,                   3.43,                 3.6047,                 2.5392,                      0,                      0,                      0,                      0,                 6.8312,                  11.94,                 4.2438,             0.00044438,             0.00044438,             0.00044438
                     35,                 3.6127,                 4.2517,                 3.1905,                      0,                      0,                      0,                      0,                 6.8319,                 11.984,                 4.2531,             0.00045111,             0.00045111,             0.00045111
                     36,                 3.9715,                  3.871,                 2.6533,                      0,                      0,                      0,                      0,                 6.8319,                 11.984,                 4.2531,             0.00045745,             0.00045745,             0.00045745
                     37,                 3.5278,                 3.4246,                 2.4164,                      0,                      0,                      0,                      0,                 6.8326,                 12.027,                 4.2624,             0.00046339,             0.00046339,             0.00046339
